date,gross,turnover_cost,borrow_cost,net
2024-03-01,0.005548547613519363,0.0,8.287891666666666e-05,0.005465668696852696
2024-03-04,0.009045857478801914,0.0,8.287891666666666e-05,0.008962978562135248
2024-03-05,0.0018781924275650963,0.0,8.287891666666666e-05,0.0017953135108984297
2024-03-06,0.010283856221892089,4.993075e-05,8.287891666666666e-05,0.010151046555225423
2024-03-07,0.0031019152465115146,4.97742e-05,8.27185e-05,0.0029694225465115146
2024-03-08,-0.0009947086702775196,0.0,8.27185e-05,-0.0010774271702775197
2024-03-11,0.0038110583128369603,0.0,8.27185e-05,0.0037283398128369603
2024-03-12,-0.0013885897527478475,0.0,8.27185e-05,-0.0014713082527478476
2024-03-13,0.0031696654981652524,4.9631000000000006e-05,8.27185e-05,0.0030373159981652523
2024-03-14,0.0003178027609667283,4.9921850000000004e-05,8.310300000000001e-05,0.00018477791096672828
2024-03-15,-0.001938196761931098,0.0,8.310300000000001e-05,-0.002021299761931098
2024-03-18,-0.001909189264127175,0.0,8.310300000000001e-05,-0.001992292264127175
2024-03-19,-0.0007981938558292866,0.0,8.310300000000001e-05,-0.0008812968558292865
2024-03-21,0.004445995051696636,4.97742e-05,8.310300000000001e-05,0.004313117851696636
2024-03-22,-0.000543725941541832,4.9854950000000006e-05,8.311825000000002e-05,-0.0006766991415418321
2024-03-25,-0.0033411422416496465,0.0,8.311825000000002e-05,-0.0034242604916496465
2024-03-26,-0.00023638067492153146,0.0,8.311825000000002e-05,-0.0003194989249215315
2024-03-27,0.0002737906418170497,0.0,8.311825000000002e-05,0.0001906723918170497
2024-03-28,0.0033686425478958075,4.9921850000000004e-05,8.311825000000002e-05,0.0032356024478958074
2024-03-29,0.0053274052930128045,4.988439999999999e-05,8.307825000000002e-05,0.005194442643012804
2024-04-01,-0.00019820863260880243,0.0,8.307825000000002e-05,-0.00028128688260880245
2024-04-02,0.004199560624925608,0.0,8.307825000000002e-05,0.004116482374925608
2024-04-03,0.003032886948915613,0.0,8.307825000000002e-05,0.002949808698915613
2024-04-04,0.0009430007085252624,4.9854950000000006e-05,8.307825000000002e-05,0.0008100675085252623
2024-04-05,-0.003003559219107371,4.986195000000001e-05,8.311616666666668e-05,-0.003136537335774038
2024-04-08,-5.969900914297362e-05,0.0,8.311616666666668e-05,-0.0001428151758096403
2024-04-09,0.0010426289402956188,0.0,8.311616666666668e-05,0.0009595127736289522
2024-04-10,-0.0016765219175987102,0.0,8.311616666666668e-05,-0.0017596380842653768
2024-04-11,0.0030294693528967595,4.988439999999999e-05,8.311616666666668e-05,0.0028964687862300924
